Id,'Gas_Connection','Fireplace','Entrance_Hall','Kitchenette','Equipped',Garage_Type,'Furnished','Drainage','Telephone','Guest_Bathroom','BBQ_Area','Living_Room','Nearby_Parks','Solarium',Commercial_Use,Province,'Internal_Garden',Garages,'Electricity','Patio','Children_Playground',Type,Number_Bathrooms,'Green_Areas','Electric_Doorman',Construction_Area_m2,'Intercom','Near_Sea','Sauna','Cinema_Room','Cleaning_Service','Terrace',Construction_Area,'Sports_Area','Security_System',Location,'Water_Heater',Professional_Use,Match,'Club_House','Internal_Park','Laundry_Room','Nearby_Schools','Balcony','Attic','Oceanfront','Security_Guard',Natural_Light,'Swimming_Pool','Electric_Fence',Advertiser,'Air_Conditioning','Hall','Nearby_Shopping_Centers','Kitchen','Water','Basement','Independent_Bathroom','Walk_in_Closet',Age,Number_Floors,'Daily_Dining_Room','Grill','Closet',Publication_Date,'Internet','Sauna_Area',Bedrooms,Pets,'Kitchen_with_Cabinets','Service_Room','Garden','Storage_Room',Beach_Resort,'Cable','Gym','Jacuzzi','Independent_Entrance','Handicap_Access','Dining_Room','Office',Total_Area_m2,'Heating',District,'Daycare',Property_Condition,'Internet_Room','Service_Bathroom',Price
4598,Not specified,Not specified,1,0,Not specified,Lineales,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,0,0,Casa,4,0,Not specified,436,Not specified,Not specified,Not specified,0,Not specified,1,436.00 m2,0,Not specified,SantiagoDeSurco-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,3,3.0,0,Not specified,0,Publicado el 05.09.19,Not specified,0,5+,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,300,Not specified,SantiagoDeSurco,0,Not specified,0,1,550000
4599,0,0,0,0,0,NoTiene,0,1,0,1,0,0,1,0,Si,Lima,0,0,1,0,0,Casa,5,0,0,398,0,0,0,0,0,0,398.00 m2,0,0,Ate-Lima,0,Si,0.0,0,0,0,1,1,0,0,0,Muy luminoso,0,0,Asesores Inmobiliarios de Remax United,0,0,1,1,1,0,0,0,4,3.0,1,0,0,Publicado el 06.09.19,0,0,5+,Si,0,1,1,1,Nulo,0,0,0,0,0,1,0,237,0,Ate,0,Bueno,0,1,275000
4600,0,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,0,0,Not specified,0,0,Not specified,Si,Lima,1,2,0,0,Not specified,Casa,3,Not specified,Not specified,360,Not specified,0,Not specified,Not specified,0,0,360.00 m2,Not specified,0,MagdalenaDelMar-Lima,Not specified,Si,0.0,Not specified,Not specified,0,1,0,0,0,0,Muy luminoso,Not specified,Not specified,VENTAS PRIMERAS - PATRICIA SALAZAR,Not specified,0,1,1,1,1,0,0,3,2.0,0,Not specified,1,Publicado el 03.08.19,0,Not specified,3,Si,Not specified,1,Not specified,1,Nulo,0,Not specified,Not specified,0,0,0,0,420,Not specified,MagdalenaDelMar,Not specified,Not specified,Not specified,0,920000
4601,Not specified,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,Not specified,1,Not specified,Not specified,Not specified,Lima,0,2,Not specified,0,Not specified,Casa de Playa,5,Not specified,Not specified,440,Not specified,Not specified,Not specified,Not specified,Not specified,1,440.00 m2,Not specified,Not specified,Asia-Lima,Not specified,Not specified,0.0,Not specified,Not specified,1,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,7,2.0,1,Not specified,0,Publicado el 13.08.19,Not specified,Not specified,5+,Si,Not specified,1,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1,0,400,Not specified,Asia,Not specified,Not specified,Not specified,1,750000
4602,Not specified,Not specified,1,0,Not specified,Not specified,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,1,0,Casa,4,0,Not specified,375,Not specified,Not specified,Not specified,0,Not specified,1,375.00 m2,0,Not specified,SanIsidro-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,6,2.0,1,Not specified,0,Publicado el 10.09.19,Not specified,0,4,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,348,Not specified,SanIsidro,0,Bueno,0,1,780000
4603,0,0,0,0,0,Lineales,0,0,1,1,0,0,0,0,Si,Lima,0,4,1,0,0,Casa,5,0,1,700,0,0,0,0,0,0,700.00 m2,1,1,LaMolina-Lima,0,Si,0.0,0,0,0,1,0,0,0,0,Muy luminoso,1,0,CENTURY 21 Neoventura,0,0,1,1,1,0,0,0,2,2.0,1,1,0,Publicado el 16.09.19,1,0,5+,Si,1,1,1,1,Nulo,1,0,0,0,0,1,0,1052,0,LaMolina,0,Bueno,0,1,1350000
4604,0,0,0,0,0,Paralelas,1,0,0,0,0,1,Not specified,0,Not specified,Lima,0,2,0,0,0,Casa en condominio,4,0,0,212,0,Not specified,0,0,0,1,212.00 m2,0,0,Asia-Lima,0,Not specified,0.0,0,0,0,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,0,0,1,8,2.0,1,1,0,Publicado el 21.08.19,0,0,3,Si,0,1,0,0,Nulo,0,0,0,Not specified,Not specified,1,1,120,0,Asia,0,Muy bueno,0,1,159000
4605,0,0,1,0,0,Paralelas,0,0,1,1,0,0,1,0,Si,Lima,0,4,1,0,0,Casa,5,0,1,280,0,0,0,0,1,0,280.00 m2,0,1,SanIsidro-Lima,0,Si,0.0,0,0,1,1,0,0,0,1,Muy luminoso,0,0,INTIMOBILIARIA,0,0,1,0,1,0,0,0,3,4.0,0,0,0,Publicado el 12.08.19,1,0,5+,Si,0,0,0,0,Nulo,1,0,0,0,0,0,0,100,0,SanIsidro,0,Excelente,0,1,440000
4606,Not specified,0,1,0,0,Paralelas,1,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,1,0,Casa en condominio,4,0,0,333,0,Not specified,0,0,Not specified,1,333.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,1,1,Not specified,1,Not specified,1,0,1,1,3.0,1,1,0,Publicado el 29.07.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,1,0,Not specified,Not specified,1,1,322,0,SantiagoDeSurco,0,Muy bueno,0,1,750000
4607,Not specified,0,Not specified,0,0,Not specified,0,0,Not specified,1,Not specified,0,0,Not specified,Not specified,Lima,0,4,Not specified,0,Not specified,Casa en condominio,5,Not specified,0,450,0,0,0,Not specified,Not specified,0,450.00 m2,Not specified,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,Not specified,Not specified,0,1,0,0,0,Not specified,Not specified,Not specified,0,Alejandra Sardon,0,0,1,1,Not specified,0,0,0,1,2.0,1,0,0,Publicado el 16.08.19,Not specified,Not specified,4,Si,1,1,Not specified,1,Nulo,Not specified,Not specified,0,0,0,1,0,1123,0,SantiagoDeSurco,Not specified,Excelente,Not specified,1,1850000
4608,0,1,0,0,0,Not specified,1,0,0,1,0,1,Not specified,0,Not specified,Lima,1,4,0,0,0,Casa en condominio,4,0,0,404,0,Not specified,0,0,0,1,404.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,0,0,0,1,2.0,0,0,0,Publicado el 28.08.19,0,0,3,Si,0,1,1,0,Nulo,0,1,1,Not specified,Not specified,1,0,570,0,LaMolina,0,Not specified,0,1,1200000
4609,0,0,Not specified,0,0,Not specified,0,1,1,1,Not specified,0,0,Not specified,Si,Lima,0,1,1,1,Not specified,Casa,4,Not specified,0,176,0,0,0,Not specified,0,0,176.00 m2,Not specified,0,SanJuanDeMiraflores-Lima,0,Not specified,0.0,Not specified,Not specified,1,1,1,0,0,0,Not specified,Not specified,0,Wilmer Blas,0,1,1,1,1,0,0,0,3,3.0,0,0,0,Publicado el 25.08.19,1,Not specified,5+,Si,0,0,Not specified,0,Nulo,1,Not specified,0,0,0,1,0,176,0,SanJuanDeMiraflores,Not specified,Not specified,Not specified,0,110000
4610,0,1,0,0,0,Not specified,0,0,0,0,0,1,Not specified,0,Not specified,Lima,0,5,0,0,0,Casa en condominio,2,0,0,180,0,Not specified,0,0,0,1,180.00 m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000
4611,0,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,0,0,0,1,Not specified,0,Not specified,Lima,1,2,0,1,0,Casa en condominio,3,0,Not specified,250,Not specified,Not specified,Not specified,0,0,0,250.00 m2,0,0,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,0,0,0,1,1,2.0,1,Not specified,0,Publicado el 27.08.19,0,0,4,Si,Not specified,1,1,0,Nulo,0,0,Not specified,Not specified,Not specified,1,1,285,Not specified,LaMolina,0,Not specified,0,1,530000
4612,0,0,0,0,0,Paralelas,0,0,0,1,0,0,1,0,Not specified,Lima,0,2,0,0,0,Casa en condominio,5,1,1,290,1,0,0,0,1,0,290.00 m2,0,1,SantiagoDeSurco-Lima,1,Not specified,0.0,0,0,0,1,1,0,0,1,Muy luminoso,0,1,Fernando Bertetti - Asesor Inmobiliario PN-2830,0,0,1,1,1,0,0,0,1,3.0,1,1,0,Publicado el 18.09.19,0,0,4,Si,1,1,0,0,Nulo,0,0,0,0,0,1,0,300,0,SantiagoDeSurco,0,Excelente,0,1,750000
4613,0,1,1,0,0,Not specified,0,0,0,0,0,0,Not specified,0,Not specified,Lima,1,5,0,0,0,Casa en condominio,5,0,0,900,0,Not specified,0,0,0,1,900.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,1,1,Not specified,1,0,0,0,1,6,2.0,1,0,0,Publicado el 09.08.19,0,0,5+,Si,0,1,1,0,Nulo,0,0,0,Not specified,Not specified,1,1,1500,0,LaMolina,0,Not specified,0,1,1900000
4614,0,0,Not specified,0,0,Paralelas,0,0,1,1,Not specified,0,1,Not specified,Not specified,Lima,0,2,1,0,Not specified,Casa,4,Not specified,1,234,1,0,0,Not specified,0,0,234.00 m2,Not specified,1,LaMolina-Lima,1,Not specified,0.0,Not specified,Not specified,0,1,0,0,0,1,Luminoso,Not specified,1,No disponible,0,0,1,1,1,0,0,0,3,3.0,1,1,0,Publicado el 09.09.19,1,Not specified,4,Si,1,1,Not specified,0,Nulo,1,Not specified,0,0,1,1,0,275,0,LaMolina,Not specified,Muy bueno,Not specified,1,580000
4615,0,Not specified,1,0,Not specified,Not specified,Not specified,Not specified,0,0,0,1,Not specified,0,Not specified,Lima,1,3,0,1,0,Casa en condominio,4,0,Not specified,254,Not specified,Not specified,Not specified,0,0,1,254.00 m2,0,0,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,0,0,0,1,8,2.0,1,Not specified,0,Publicado el 06.09.19,0,0,4,Si,Not specified,1,1,0,Nulo,0,0,Not specified,Not specified,Not specified,1,0,308,Not specified,LaMolina,0,Muy bueno,0,1,425000
4616,0,0,1,0,0,Not specified,0,0,0,1,1,0,Not specified,0,Not specified,Lima,0,5,1,1,0,Casa,5,0,0,337,0,Not specified,0,0,0,1,337.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,0,Not specified,1,0,PROIN SAC ,0,1,Not specified,1,1,0,0,1,3,2.0,0,1,1,Publicado el 18.09.19,0,0,4,Si,0,1,1,1,Nulo,0,0,1,Not specified,Not specified,1,0,1000,0,LaMolina,0,Not specified,0,1,890000
4617,Not specified,1,1,0,0,Paralelas,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,4,Not specified,0,0,Casa,4,0,0,469,0,Not specified,0,0,Not specified,1,469.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,0,1,Not specified,1,Not specified,0,0,0,1,2.0,1,0,0,Publicado el 09.08.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,1,1,Not specified,Not specified,1,1,906,0,LaMolina,0,Muy bueno,0,1,1750000
4618,0,0,Not specified,0,0,Not specified,0,0,0,1,Not specified,0,1,Not specified,Not specified,Lima,0,3,1,0,Not specified,Casa,5,Not specified,0,345,1,0,0,Not specified,0,0,345.00 m2,Not specified,0,LaMolina-Lima,1,Not specified,0.0,Not specified,Not specified,0,0,0,0,0,0,Muy luminoso,Not specified,0,No disponible,0,0,1,1,1,0,0,0,1,2.0,1,0,0,Publicado el 12.09.19,0,Not specified,4,Si,1,1,Not specified,1,Nulo,0,Not specified,0,0,0,1,0,402,0,LaMolina,Not specified,Not specified,Not specified,1,430000
4619,0,0,Not specified,0,0,Paralelas,0,0,0,1,Not specified,0,1,Not specified,Not specified,Lima,0,2,0,0,Not specified,Casa,5,Not specified,0,443,1,0,0,Not specified,0,0,443.00 m2,Not specified,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000
4620,Not specified,Not specified,0,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,0,3,Not specified,0,0,Casa,4,0,Not specified,310,Not specified,Not specified,Not specified,0,Not specified,0,310.00 m2,0,Not specified,SanBorja-Lima,Not specified,Not specified,0.0,0,0,0,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,0,Not specified,0,0,0,3,3.0,0,Not specified,0,Publicado el 06.08.19,Not specified,0,4,Si,Not specified,0,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,310,Not specified,SanBorja,0,Remodelado,0,0,720000
4621,0,0,Not specified,0,0,Paralelas,0,0,0,0,Not specified,0,0,Not specified,No,Lima,0,2,1,0,Not specified,Casa,3,Not specified,0,341,0,0,0,Not specified,1,0,341.00 m2,Not specified,0,LaMolina-Lima,0,No,0.0,Not specified,Not specified,0,1,0,0,0,0,Muy luminoso,Not specified,0,VENTAS PRIMERAS - PATRICIA SALAZAR,0,0,0,1,1,0,0,0,9,2.0,0,1,0,Publicado el 11.09.19,0,Not specified,4,Si,0,0,Not specified,1,Nulo,0,Not specified,0,0,0,0,0,403,0,LaMolina,Not specified,Remodelado,Not specified,0,460000
4622,Not specified,0,1,0,0,Not specified,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,5,Not specified,0,0,Casa,5,0,0,690,0,Not specified,0,0,Not specified,1,690.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,1,1,Not specified,1,Not specified,0,0,0,2,2.0,1,0,0,Publicado el 02.09.19,Not specified,0,5+,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,1240,0,SantiagoDeSurco,0,Muy bueno,0,1,2600000
4623,Not specified,0,1,0,0,Not specified,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,1,0,Casa,2,0,0,225,0,Not specified,0,0,Not specified,1,225.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,0,1,Not specified,1,Not specified,0,0,1,3,2.0,1,1,0,Publicado el 11.09.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,297,0,SantiagoDeSurco,0,Bueno,0,1,600000
4624,0,Not specified,Not specified,0,Not specified,NoTiene,Not specified,Not specified,0,0,Not specified,0,1,Not specified,Not specified,Lima,0,0,1,1,Not specified,Casa,1,Not specified,Not specified,120,Not specified,1,Not specified,Not specified,0,0,120.00 m2,Not specified,0,Chorrillos-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,0,0,0,0,0,Luminoso,Not specified,Not specified,No disponible,Not specified,1,1,1,1,0,0,0,2,1.0,0,Not specified,0,Publicado el 25.08.19,0,Not specified,3,No,Not specified,0,Not specified,1,Nulo,0,Not specified,Not specified,0,0,1,0,155,Not specified,Chorrillos,Not specified,Bueno,Not specified,0,105000
4625,Not specified,Not specified,1,0,Not specified,Lineales,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,5,Not specified,1,0,Casa,5,0,Not specified,900,Not specified,Not specified,Not specified,0,Not specified,1,900.00 m2,0,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500000
4626,0,0,Not specified,0,0,NoTiene,0,1,0,0,Not specified,0,1,Not specified,Not specified,Lima,0,0,1,0,Not specified,Casa,1,Not specified,1,187,1,1,0,Not specified,0,0,187.00 m2,Not specified,0,Miraflores-Lima,0,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Muy luminoso,Not specified,0,eyb asociados,0,1,1,1,1,0,0,0,4,2.0,0,0,1,Publicado el 17.08.19,0,Not specified,2,Si,1,1,Not specified,0,Nulo,1,Not specified,0,0,0,1,0,187,0,Miraflores,Not specified,Bueno,Not specified,1,410000
4627,Not specified,1,0,0,0,Not specified,0,0,Not specified,1,1,0,1,0,Not specified,Lima,0,4,Not specified,0,0,Casa,5,0,0,440,0,0,0,0,Not specified,0,440.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,0,1,0,0,0,Not specified,Not specified,1,0,MASTERHOUSE,0,0,1,1,Not specified,0,0,0,3,2.0,1,0,0,Publicado el 02.08.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,1,0,0,1,0,600,0,LaMolina,0,Not specified,0,1,1250000
4628,0,1,1,0,0,Paralelas,0,0,0,1,0,1,Not specified,0,Not specified,Lima,1,2,0,1,0,Casa en condominio,3,0,0,278,0,Not specified,0,0,0,1,278.00 m2,0,0,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,0,0,0,1,2.0,1,0,0,Publicado el 03.09.19,0,0,3,Si,0,1,1,0,Nulo,0,0,0,Not specified,Not specified,1,1,512,0,LaMolina,0,Not specified,0,1,615000
4629,0,0,Not specified,0,0,Separadas,0,1,0,0,Not specified,0,1,Not specified,Si,Lima,1,2,1,1,Not specified,Casa,4,Not specified,0,509,0,0,0,Not specified,0,1,509.23 m2,Not specified,0,ElAgustino-Lima,1,Not specified,0.0,Not specified,Not specified,1,1,1,0,0,0,Muy luminoso,Not specified,0,REMAX ACCION AGENTES,0,1,1,1,1,0,0,0,3,3.0,1,0,0,Publicado el 04.09.19,0,Not specified,5+,Si,0,0,Not specified,1,Nulo,0,Not specified,0,0,0,1,1,509,0,ElAgustino,Not specified,Bueno,Not specified,0,239000
4630,1,1,Not specified,0,0,Separadas,0,1,1,1,Not specified,0,1,Not specified,No,Lima,0,5,1,0,Not specified,Casa,5,Not specified,0,400,0,0,0,Not specified,1,0,400.00 m2,Not specified,0,SantiagoDeSurco-Lima,1,No,0.0,Not specified,Not specified,0,1,1,0,0,0,Muy luminoso,Not specified,0,CAMACHO,0,0,1,1,1,0,0,0,2,2.0,1,0,0,Publicado el 12.09.19,1,Not specified,5+,Si,1,1,Not specified,1,Nulo,1,Not specified,0,0,1,1,0,660,0,SantiagoDeSurco,Not specified,Regular,Not specified,1,860000
4631,Not specified,1,1,0,0,NoTiene,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,1,0,Not specified,0,0,Casa,3,0,0,381,0,Not specified,0,0,Not specified,1,381.00 m2,0,Not specified,SanIsidro-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,LIMA INMOBILIARIA,0,1,Not specified,1,Not specified,0,0,1,8,3.0,0,0,0,Publicado el 17.09.19,Not specified,0,5+,Si,0,1,0,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,763,0,SanIsidro,0,Not specified,0,1,2850000
4632,Not specified,0,1,0,0,Paralelas,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,1,4,Not specified,0,0,Casa,5,0,0,500,0,Not specified,0,0,Not specified,1,500.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,1,1,Not specified,1,Not specified,0,0,1,2,2.0,1,1,0,Publicado el 27.08.19,Not specified,0,4,Si,0,1,0,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,700,0,LaMolina,0,Muy bueno,0,1,1200000
4633,0,Not specified,Not specified,0,Not specified,NoTiene,Not specified,Not specified,0,0,Not specified,0,Not specified,Not specified,Si,Lima,0,0,1,0,Not specified,Casa,5,Not specified,Not specified,228,Not specified,Not specified,Not specified,Not specified,0,0,228.00 m2,Not specified,0,Comas-Lima,Not specified,Si,0.0,Not specified,Not specified,0,Not specified,1,1,Not specified,0,Luminoso,Not specified,Not specified,sabhir inmobiliaria ,Not specified,0,Not specified,1,1,0,0,0,6,3.0,1,Not specified,0,Publicado el 17.09.19,0,Not specified,4,Si,Not specified,0,Not specified,1,Nulo,0,Not specified,Not specified,Not specified,Not specified,0,0,228,Not specified,Comas,Not specified,A Remodelar,Not specified,0,148000
4634,Not specified,1,1,0,0,NoTiene,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,0,Not specified,1,0,Casa,3,0,0,450,0,Not specified,0,0,Not specified,1,450.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,0,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,1,1,Not specified,1,Not specified,0,0,1,4,2.0,1,1,0,Publicado el 17.09.19,Not specified,0,3,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,500,0,LaMolina,0,Not specified,0,1,1080000
4635,Not specified,Not specified,Not specified,0,Not specified,NoTiene,Not specified,Not specified,Not specified,0,Not specified,0,1,Not specified,Not specified,Lima,0,0,Not specified,0,Not specified,Casa,3,Not specified,Not specified,89,Not specified,0,Not specified,Not specified,Not specified,0,89.90 m2,Not specified,Not specified,VillaMariaDelTriunfo-Lima,Not specified,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,Not specified,Luminoso,Not specified,Not specified,REMAX CONSULTORES ,Not specified,1,1,0,Not specified,0,0,0,1,2.0,0,Not specified,0,Publicado el 05.08.19,Not specified,Not specified,5+,Si,Not specified,0,Not specified,0,Nulo,Not specified,Not specified,Not specified,0,0,1,0,89,Not specified,VillaMariaDelTriunfo,Not specified,Bueno,Not specified,0,87000
4636,0,0,1,0,0,Separadas,0,0,0,1,1,0,1,0,Not specified,Lima,0,5,1,0,0,Casa,5,0,1,574,1,0,0,0,0,0,574.00 m2,0,0,SanBorja-Lima,1,Not specified,0.0,0,0,0,1,1,1,0,0,Muy luminoso,0,1,No disponible,0,0,1,1,1,0,0,0,1,4.0,1,1,0,Publicado el 16.08.19,0,0,5+,Si,1,1,1,1,Nulo,0,0,0,0,0,1,0,398,0,SanBorja,0,Excelente,0,1,855000
4637,Not specified,Not specified,0,0,Not specified,Lineales,Not specified,Not specified,Not specified,0,0,0,Not specified,0,Not specified,Lima,0,1,Not specified,1,0,Casa,4,0,Not specified,280,Not specified,Not specified,Not specified,0,Not specified,1,280.00 m2,0,Not specified,Lurigancho-Lima,Not specified,Not specified,0.0,0,0,0,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,1,6,2.0,1,Not specified,0,Publicado el 04.09.19,Not specified,0,3,Si,Not specified,0,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,123,Not specified,Lurigancho,0,Muy bueno,0,0,160000
4638,0,Not specified,Not specified,0,Not specified,NoTiene,Not specified,Not specified,0,0,Not specified,0,Not specified,Not specified,Not specified,Lima,0,0,1,0,Not specified,Casa,2,Not specified,Not specified,150,Not specified,Not specified,Not specified,Not specified,0,0,150.00 m2,Not specified,0,Comas-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,Not specified,0,0,Not specified,0,Not specified,Not specified,Not specified,Inmobiliaria EGP SAC,Not specified,1,Not specified,1,1,0,0,0,3,3.0,0,Not specified,0,Publicado el 21.08.19,0,Not specified,3,Si,Not specified,0,Not specified,0,Nulo,0,Not specified,Not specified,Not specified,Not specified,1,0,100,Not specified,Comas,Not specified,Not specified,Not specified,0,150000
4639,Not specified,0,1,0,0,Paralelas,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,1,3,Not specified,0,0,Casa,4,0,0,288,0,Not specified,0,0,Not specified,0,288.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,1,1,Not specified,1,Not specified,0,0,0,4,2.0,1,0,0,Publicado el 04.09.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,300,0,SantiagoDeSurco,0,Bueno,0,1,515000
4640,Not specified,1,1,0,0,Paralelas,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,4,Not specified,1,0,Casa,4,0,0,450,0,Not specified,0,0,Not specified,1,450.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,0,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,1,1,Not specified,1,Not specified,0,0,1,2,2.0,1,1,0,Publicado el 06.09.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,1100,0,LaMolina,0,Not specified,0,1,1300000
4641,Not specified,0,1,0,0,Not specified,1,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,0,3,Not specified,1,0,Casa,4,0,0,244,0,Not specified,0,0,Not specified,0,244.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,0,1,Not specified,1,Not specified,0,0,0,3,3.0,1,0,0,Publicado el 13.08.19,Not specified,0,5+,Si,0,1,0,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,250,0,SantiagoDeSurco,0,Bueno,0,1,530000
4642,0,Not specified,0,0,Not specified,Lineales,Not specified,Not specified,1,1,0,0,0,0,Not specified,Lima,0,2,1,1,0,Casa,2,1,Not specified,260,Not specified,0,Not specified,0,0,0,260.00 m2,0,0,Chaclacayo-Lima,Not specified,Not specified,0.0,0,0,1,1,1,0,0,0,Muy luminoso,0,Not specified,RE/MAX FUTURA 2,Not specified,1,0,1,1,0,0,0,1,2.0,1,Not specified,0,Publicado el 29.08.19,0,0,2,Si,Not specified,0,0,0,Nulo,0,0,Not specified,0,0,1,1,150,Not specified,Chaclacayo,0,Excelente,0,0,149000
